"category_id","parent_id","name"
1,0,"Reporting & Journalism"
2,0,"Animation"
3,0,"Comedy"
4,0,"Video School"
6,0,"Personal"
7,0,"Narrative"
9,0,"Music"
11,0,"Sports"
12,0,"Tech"
13,0,"Travel"
14,0,"Vimeo"
16,0,"Nature"
17,0,"Experimental"
18,0,"Arts & Design"
24,1,"Causes"
26,2,"2D"
27,2,"3D/CG"
28,2,"VFX"
32,2,"Stop Frame"
50,3,"Narrative"
54,0,"Instructionals"
82,11,"Bikes"
87,11,"Skate"
108,9,"Live Music"
111,9,"Music Videos"
116,7,"Comedy"
117,0,"Documentary"
118,7,"Drama"
129,0,"Food"
131,18,"Cars"
134,7,"Horror & Thriller"
135,1,"Video Journalism"
142,0,"Fashion"
145,142,"Fashion Film"
151,142,"Collections & Runway"
153,2,"Mograph"
155,2,"Projection Mapping"
160,1,"Infographics"
161,1,"People & Politics"
162,1,"Science & Tech"
165,1,"Environment"
166,18,"Installation"
168,18,"The Art World"
169,18,"Performance"
170,18,"Design"
174,18,"Personal Tech"
175,117,"Arts & Craft"
176,117,"Culture & Tech"
177,117,"Nature"
178,117,"People"
179,117,"Sports"
183,129,"Drinks"
184,129,"Profiles & Documentary"
185,6,"Cameo"
186,6,"Personal Stories"
187,17,"Fresh ideas"
188,17,"Remix & Supercuts"
189,17,"Generative Art & Processing"
191,0,"For Kids"
192,0,"Talks"
193,0,"Cameras & Techniques"
198,54,"Filmmaking & Photography"
200,54,"Health & Fitness"
201,54,"Home Skills"
203,54,"Music & Dance"
205,54,"Self Discovery"
209,9,"Music Documentary"
211,7,"Animation"
212,7,"Lyrical"
213,7,"Musical"
214,7,"Romance"
215,7,"SciFi"
219,11,"Outdoor Sports"
220,11,"Sky"
221,11,"Snow"
222,11,"Surf"
223,11,"Everything Else"
224,192,"Business & Tech"
226,192,"Inspirational & Personal"
228,193,"Drones & Aerials"
229,193,"Macro & Slo Mo"
230,193,"Time Lapse"
231,13,"Africa"
232,13,"Antarctica"
234,13,"Asia"
235,13,"Australasia"
236,13,"Europe"
237,13,"North America"
238,13,"South America"
239,13,"Space!"
